id,tweet_id,customer_text,intent
1,1702007,@AppleSupport I️ can connect just fine but my phone won’t download anything or load any apps and my WiFi is totally fine because my other devices work,App Problem
2,2438518,So @AppleSupport my speaker just gon stop working everytime y’all have a new update 🤔,Device / Hardware Problem
3,228544,"@AppleSupport look, i just got this iPhone 8 and i would like to ask y’all why is my phone tripping and dying so fast 😐",Battery / Charging
4,2949588,@814571 @AppleSupport please update the published date of Security Update 2017-001.  Unless you have a time machine this date is incorrect and manual downloaders may be confused about whether its the right patch. https://t.co/gutki0WsMH,Software / iOS Update
5,292375,@AppleSupport recent update for IPad and IPhone have made it difficult to open certain applications,App Problem
6,2772451,"@AppleSupport I did the latest update at that time and it worked well.  The day before your last update, it started dropping again. I updated again last week and it still drops.",Battery / Charging
7,122317,@AppleSupport @115858 why isn’t my low power mode working 🤔🧐help?!... https://t.co/AutkdiI4n6,Software / iOS Update
8,2220328,"@AppleSupport help me.. my iPhone 5s is freezing on homescreen, can't adjust audio, after update to iOS 11.0.3. please fix it asap",Software / iOS Update
9,460860,"Another @115858 #ios11 bug - search textbox in Settings disappears, and the little “x” (to clear the input) follows as you scroll. This release is a QA disaster. https://t.co/dApuyRo3vp",Software / iOS Update
10,1534984,@AppleSupport ETA on iPhone activation services? Been trying to activate an X for 90+ minutes now.,Purchase / Activation
11,1715236,I’ve been bitten by the @115858 bug 🍏 🐛 😔 I️ I️ I️,Other / Unclear
12,1712427,"If all these boxed question marks and exclamation points are something new, it’s dumb af, everyone hates it, and no one gets it @115858",Software / iOS Update
13,1577407,"@AppleSupport Hi , i have an iPhone 8+ and i have a problem, at the begining of every videos i have a weird sound .(like stuttering)",Device / Hardware Problem
14,2143373,@AppleSupport This glitch with the letter following H is affecting my ability to work on the road. Unacceptable.,Software / iOS Update
15,827903,@AppleSupport help I updated to iOS 11 and can’t email videos nor text videos to anything other than iPhone.,Messaging / Notifications
16,2286468,"@AppleSupport That worked, thanks!",Other / Unclear
17,637457,@AppleSupport I can get on and listen to all of my podcasts and it shows the top 10 episodes on the main itunes page as well as the normal top 100 chart for general podcasts but gives me nothing for the 'top episodes' chart including when I try to refine it by category i.e. https://t.co/fEMBUdD43z,Apple Services
18,1245992,@AppleSupport Thanks so much.,Other / Unclear
19,2518159,What is this @AppleSupport https://t.co/lSGiSdBIjZ,Other / Unclear
20,1012959,@AppleSupport 11.0.2(15A421),Software / iOS Update
21,2817219,"Acepté la actualización que me ofrecía @115858 de macOS High Sierra. Después de 10 horas de múltiples fallos y errores de instalación, de un domingo tenso y desperdiciado, parece que hay que rendirse. Se perdió todo",Software / iOS Update
22,814905,@AppleSupport Yea I do,Other / Unclear
23,1742552,"@AppleSupport @115858 fix my iPhone and it’s stupid ass autocorrect, ” i “ turns into “ I️ “",Device / Hardware Problem
24,1744921,@AppleSupport seriously why isn’t there a new update that fixes the issues with the current update. My phone has been glitching since Friday https://t.co/tAYhMoZcUU,Software / iOS Update
25,1906707,@115858 the latest iOS update is slow as hell man. Takes me 5 seconds to text or email a link or screenshot now. Smh,Software / iOS Update
26,2141607,@AppleSupport fix this fucking glitch or i️ am going to throw my phone off of a bridge,Other / Unclear
27,1407836,"@AppleSupport unfortunately, I do that and then it's fine but eventually it starts again",Other / Unclear
28,1281461,"@118190 @AppleSupport Confirmed, @118190 in Activity Monitor; when activating screen sharing in a call, Slack prevents sleeping. It went to 'Yes' at that moment. https://t.co/P4r1ZuAE2e",App Problem
29,2062645,@AppleSupport,Other / Unclear
30,2795483,@AppleSupport Is there a way to check the overall battery health of my iPhone 6S Plus?,Battery / Charging
